ac_no,name,pc_name,district,mla,party
52,Aurad,BIDAR,BIDAR,Prabhu Chauhan,Bharatiya Janata Party
51,Bhalki,BIDAR,BIDAR,Eshwara Khandre,Indian National Congress
50,Bidar,BIDAR,BIDAR,Rahim Khan,Indian National Congress
47,Basavakalyan,BIDAR,BIDAR,Sharanu Salagar,Bharatiya Janata Party
49,Bidar South,BIDAR,BIDAR,Shailendra Beldale,Bharatiya Janata Party
48,Homnabad,BIDAR,BIDAR,,
46,Aland,BIDAR,GULBARGA,B. R. Patil,Indian National Congress
43,Gulbarga Rural,GULBARGA (SC),GULBARGA,Basawaraj Mattimud,Bharatiya Janata Party
42,Chincholi,BIDAR,GULBARGA,Avinash Umesh Jadhav,Bharatiya Janata Party
31,Nagthan,BIJAPUR (SC),BIJAPUR,Katakadond Vittal Dondiba,Indian National Congress
44,Gulbarga Dakshin,GULBARGA (SC),GULBARGA,Allamprabhu Patil,Indian National Congress
40,Chittapur,GULBARGA (SC),GULBARGA,Priyank M. Kharge,Indian National Congress
41,Sedam,GULBARGA (SC),GULBARGA,Sharan Prakash Patil,Indian National Congress
45,Gulbarga Uttar,GULBARGA (SC),GULBARGA,Kaneez Fathima,Indian National Congress
34,Afzalpur,GULBARGA (SC),GULBARGA,M. Y. Patil,
32,Indi,BIJAPUR (SC),BIJAPUR,Yashavant Rayagoud Patil,Indian National Congress
33,Sindgi,BIJAPUR (SC),BIJAPUR,,
35,Jevargi,GULBARGA (SC),GULBARGA,Ajay Singh,Indian National Congress
29,Babaleshwar,BIJAPUR (SC),BIJAPUR,M. B. Patil,Indian National Congress
4,Kagwad,CHIKKODI,BELGAUM,Raju Kage,Indian National Congress
3,Athani,CHIKKODI,BELGAUM,Laxman Savadi,Indian National Congress
27,Devar Hippargi,BIJAPUR (SC),BIJAPUR,Bhimanagouda Patil,
30,Bijapur City,BIJAPUR (SC),BIJAPUR,Basangouda Patil Yatnal,Bharatiya Janata Party
39,Gurmitkal,GULBARGA (SC),GULBARGA,Sharanagouda Kandakur,
37,Shahapur,RAICHUR (ST),GULBARGA,,
38,Yadgir,RAICHUR (ST),GULBARGA,Channareddy Patil Tunnur,Indian National Congress
21,Jamkhandi,BAGALKOT,BAGALKOT *,Jagadish Gudagunti,Bharatiya Janata Party
28,Basavana Bagevadi,BIJAPUR (SC),BIJAPUR,Shivanand Patil,Indian National Congress
1,Nippani,CHIKKODI,BELGAUM,Shashikala Annasaheb Jolle,Bharatiya Janata Party
5,Kudachi,CHIKKODI,BELGAUM,Mahendra Kallappa Tammannavar,INC
2,Chikkodi-Sadalga,CHIKKODI,BELGAUM,Ganesh Prakash Hukkeri,Indian National Congress
6,Raybag,CHIKKODI,BELGAUM,,
20,Terdal,BAGALKOT,BAGALKOT *,Siddu Savadi,Bharatiya Janata Party
36,Shorapur,RAICHUR (ST),GULBARGA,Raja Venugopal Naik,Indian National Congress
26,Muddebihal,BIJAPUR (SC),BIJAPUR,C. S. Nadagouda,Indian National Congress
22,Bilgi,BAGALKOT,BAGALKOT *,J. T. Patil,Indian National Congress
56,Devadurga,RAICHUR (ST),RAICHUR,Karemma Nayak,
19,Mudhol,BAGALKOT,BAGALKOT *,R. B. Timmapur,Indian National Congress
8,Arabhavi,BELGAUM,BELGAUM,Balachandra Jarkiholi,Bharatiya Janata Party
7,Hukkeri,CHIKKODI,BELGAUM,Nikhil Umesh Katti,Bharatiya Janata Party
