state,constituency,name,name_title,party,photo_url
Andaman and Nicobar Islands,Andaman and Nicobar Islands,Bishnu Pada Ray,Bishnu Pada Ray,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Shri_Bishnu_Pada_Ray%2C_MP_of_Andaman_%26_Nicobar_Islands%2C_addressing_at_the_inauguration_of_the_Public_Information_Campaign%2C_at_Ferrargunj%2C_South_Andaman_on_January_03%2C_2016.jpg/500px-thumbnail.jpg
Andhra Pradesh,Araku,Gumma Thanuja Rani,Gumma Thanuja Rani,YSR Congress Party,
Andhra Pradesh,Srikakulam,Kinjarapu Ram Mohan Naidu,Kinjarapu Ram Mohan Naidu,Telugu Desam Party,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Kinjarapu_Ram_Mohan_Naidu_%28cropped%29.jpg/500px-Kinjarapu_Ram_Mohan_Naidu_%28cropped%29.jpg
Andhra Pradesh,Vizianagaram,Appalanaidu Kalisetti,Appalanaidu Kalisetti,Telugu Desam Party,
Andhra Pradesh,Visakhapatnam,Mathukumilli Bharat,Mathukumilli Bharat,Telugu Desam Party,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Mathukumilli_Bharat_at_CII_30th_Partnership_Summit%2C_Visakhapatnam_02.jpg/500px-Mathukumilli_Bharat_at_CII_30th_Partnership_Summit%2C_Visakhapatnam_02.jpg
Andhra Pradesh,Anakapalli,C. M. Ramesh,C. M. Ramesh,Bharatiya Janata Party,
Andhra Pradesh,Kakinada,Tangella Uday Srinivas,Tangella Uday Srinivas,Janasena Party,
Andhra Pradesh,Amalapuram,Ganti Harish Madhur,Ganti Harish Madhur,Telugu Desam Party,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/G_M_Harish_Balayogi_in_a_white_background.jpg/500px-G_M_Harish_Balayogi_in_a_white_background.jpg
Andhra Pradesh,Rajahmundry,Daggubati Purandeswari,Daggubati Purandeswari,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/D._Purandeswari%2C_in_New_Delhi_on_February_07%2C_2013.jpg/500px-D._Purandeswari%2C_in_New_Delhi_on_February_07%2C_2013.jpg
Andhra Pradesh,Narasapuram,Bhupathi Raju Srinivasa Varma,Bhupathi Raju Srinivasa Varma,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/BhSrinivasaVarma.jpg/500px-BhSrinivasaVarma.jpg
Andhra Pradesh,Eluru,Putta Mahesh Kumar,Putta Mahesh Kumar,Telugu Desam Party,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Putta_Mahesh_Kumar.jpg/500px-Putta_Mahesh_Kumar.jpg
Andhra Pradesh,Machilipatnam,Vallabhaneni Balashowry,Vallabhaneni Balashowry,Janasena Party,
Andhra Pradesh,Vijayawada,Kesineni Sivanath,Kesineni Sivanath,Telugu Desam Party,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Kesineni_Chinni.jpg/500px-Kesineni_Chinni.jpg
Andhra Pradesh,Guntur,Chandra Sekhar Pemmasani,Chandra Sekhar Pemmasani,Telugu Desam Party,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/The_Minister_of_State_for_Rural_Development_and_Communications%2C_Dr._Chandra_Sekhar_Pemmasani_%28cropped%29.jpg/500px-The_Minister_of_State_for_Rural_Development_and_Communications%2C_Dr._Chandra_Sekhar_Pemmasani_%28cropped%29.jpg
Andhra Pradesh,Narasaraopet,Lavu Sri Krishna Devarayalu,Lavu Sri Krishna Devarayalu,Telugu Desam Party,
Andhra Pradesh,Bapatla,Krishna Prasad Tenneti,Krishna Prasad Tenneti,Telugu Desam Party,
Andhra Pradesh,Ongole,Magunta Sreenivasulu Reddy,Magunta Sreenivasulu Reddy,Telugu Desam Party,
Andhra Pradesh,Nandyal,Byreddy Shabari,Byreddy Shabari,Telugu Desam Party,
Andhra Pradesh,Kurnool,B. Nagaraju Panchalingala,Bastipati Nagaraju Panchalingala,Telugu Desam Party,
Andhra Pradesh,Anantapur,G. Lakshminarayana,G. Lakshminarayana,Telugu Desam Party,
Andhra Pradesh,Hindupur,B. K. Parthasarathi,B. K. Parthasarathi,Telugu Desam Party,
Andhra Pradesh,Kadapa,Y. S. Avinash Reddy,Y. S. Avinash Reddy,YSR Congress Party,
Andhra Pradesh,Nellore,Vemireddy Prabhakar Reddy,Vemireddy Prabhakar Reddy,Telugu Desam Party,
Andhra Pradesh,Tirupati,Maddila Gurumoorthy,Maddila Gurumoorthy,YSR Congress Party,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Portrait_of_Maddila_Gurumoorthy.jpg/500px-Portrait_of_Maddila_Gurumoorthy.jpg
Andhra Pradesh,Rajampet,P. V. Midhun Reddy,P. V. Midhun Reddy,YSR Congress Party,
